author,candidato,circulation,date_published,source,title,url
,Freixo,,2016-10-14T10:40:47-03:00,dci,Garotinho vira peça central do 2º turno do Rio,http://www.dci.com.br/politica/garotinho-vira-peca-central-do-2%C2%BA-turno-do-rio-id580852.html
,Freixo,,2016-10-14T10:27:08-03:00,extra,Justiça nega direito de resposta pedido por Garotinho contra Freixo,http://extra.globo.com/noticias/extra-extra/justica-nega-direito-de-resposta-pedido-por-garotinho-contra-freixo-20288669.html
,Freixo,,2016-10-14T09:47:00-03:00,globo_g1,Veja as agendas de Marcelo Crivella e Marcelo Freixo nesta sexta-feira (14),http://g1.globo.com/rio-de-janeiro/eleicoes/2016/noticia/2016/10/veja-agendas-de-marcelo-crivella-e-marcelo-freixo-nesta-sexta-feira-14.html
,Freixo,,2016-10-14T09:11:01-03:00,odia,Confira as agendas de Marcelo Crivella e Marcelo Freixo nesta sexta,http://odia.ig.com.br/rio-de-janeiro/2016-10-14/confira-as-agendas-de-marcelo-crivella-e-marcelo-freixo-nesta-sexta-feira.html
,Freixo,,2016-10-14T08:08:03-03:00,odia,Freixo convoca tuitaço contra Crivella,http://odia.ig.com.br/rio-de-janeiro/2016-10-14/freixo-convoca-tuitaco-contra-crivella.html
Marina Navarro Lins,Freixo,,2016-10-14T05:00:00-03:00,extra,Crivella tem apoio da maioria dos vereadores eleitos do PMDB,http://extra.globo.com/noticias/rio/crivella-tem-apoio-da-maioria-dos-vereadores-eleitos-do-pmdb-20286572.html
,Freixo,,2016-10-13T23:46:53-03:00,zerohora,Quem se omite na eleição dá aval ao prefeito eleito,http://zh.clicrbs.com.br/rs/opiniao/colunistas/rosane-de-oliveira/noticia/2016/10/quem-se-omite-na-eleicao-da-aval-ao-prefeito-eleito-7777073.html
,Freixo,,2016-10-13T21:53:00-03:00,dci,"Fora do segundo turno, Luciana Genro vai ao Rio apoiar Marcelo Freixo","http://www.dci.com.br/politica/fora-do-segundo-turno,-luciana-genro-vai-ao-rio-apoiar-marcelo-freixo-id580843.html"
,Freixo,,2016-10-13T20:02:00-03:00,globo_g1,Juiz do TRE pede investigação por propaganda irregular contra Freixo,http://g1.globo.com/rio-de-janeiro/eleicoes/2016/noticia/2016/10/juiz-do-tre-pede-investigacao-por-propaganda-irregular-contra-freixo.html
,Freixo,,2016-10-13T19:44:00-03:00,globo_g1,Freixo fala sobre investimento em áreas de infra-estrutura e transportes,http://g1.globo.com/rio-de-janeiro/eleicoes/2016/noticia/2016/10/freixo-fala-sobre-investimento-em-areas-de-infra-estrutura-e-transportes.html
